,name,current_capacity,total_capacity,percent_capacity,date_time
0,Upper Track (4th Floor),0.0,100.0,0.0,1661151147.9050896
1,Faculty/Staff Workout Area ,1.0,100.0,1.0,1661151147.9050896
2,Upper Fitness ,0.0,100.0,0.0,1661151147.9050896
3,Upper Gym,2.0,350.0,1.0,1661151147.9050896
4,MP6,2.0,100.0,2.0,1661151147.9050896
5,MP7,0.0,100.0,0.0,1661151147.9050896
6,MAC Court,0.0,300.0,0.0,1661151147.9050896
7,West Mezzanine (3rd Floor),0.0,100.0,0.0,1661151147.9050896
8,Atrium Track (3rd Floor),0.0,100.0,0.0,1661151147.9050896
9,East Mezzanine (3rd Floor),0.0,100.0,0.0,1661151147.9050896
10,Mindfulness Room ,0.0,50.0,0.0,1661151147.9050896
11,Racquetball/Squash Courts ,36.0,200.0,18.0,1661151147.9050896
12,MP5,0.0,100.0,0.0,1661151147.9050896
13,Fitness Pavilion,6.0,100.0,6.0,1661151147.9050896
14,Fitness Loft,1.0,50.0,2.0,1661151147.9050896
15,Feature Gym,3.0,900.0,1.0,1661151147.9050896
16,B&G Gym 1-3,2.0,1000.0,1.0,1661151147.9050896
17,B&G Gym 4-6,12.0,1000.0,2.0,1661151147.9050896
18,Scifres ,4.0,200.0,2.0,1661151147.9050896
19,F45 Studio (MP1),,,,1661151147.9050896
20,MP2,0.0,100.0,0.0,1661151147.9050896
21,Climbing Wall ,,,,1661151147.9050896
22,Bouldering Wall,1.0,50.0,2.0,1661151147.9050896
23,East Fitness,10.0,200.0,5.0,1661151147.9050896
24,Olympic Lifting Room ,2.0,50.0,4.0,1661151147.9050896
25,Combative Arts Room,0.0,200.0,0.0,1661151147.9050896
26,MP4 (Table Tennis),0.0,300.0,0.0,1661151147.9050896
27,MP3,0.0,50.0,0.0,1661151147.9050896
28,Cycling Studio,,,,1661151147.9050896
29,Colby Fitness,32.0,300.0,11.0,1661151147.9050896
30,Lower Gym,0.0,250.0,0.0,1661151147.9050896
31,TREC,,,,1661151147.9050896
