,name,current_capacity,total_capacity,percent_capacity,date_time
0,Upper Track (4th Floor),0.0,100.0,0.0,1635757507.5398767
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635757507.5398767
2,Upper Fitness ,1.0,100.0,1.0,1635757507.5398767
3,Upper Gym,29.0,100.0,29.0,1635757507.5398767
4,MAC Court (Cardio),1.0,100.0,1.0,1635757507.5398767
5,MAC (badminton),0.0,50.0,0.0,1635757507.5398767
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635757507.5398767
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635757507.5398767
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635757507.5398767
9,Mindfulness Room ,0.0,50.0,0.0,1635757507.5398767
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635757507.5398767
11,Fitness Pavilion (strength),4.0,100.0,4.0,1635757507.5398767
12,Fitness Pavilion (cardio),0.0,100.0,0.0,1635757507.5398767
13,Fitness Loft,0.0,100.0,0.0,1635757507.5398767
14,Feature Gym,8.0,100.0,8.0,1635757507.5398767
15,B&G Gym 1-3,,,,1635757507.5398767
16,B&G Gym 4-6,14.0,300.0,5.0,1635757507.5398767
17,Scifres ,12.0,200.0,6.0,1635757507.5398767
18,Climbing Wall ,,,,1635757507.5398767
19,Bouldering Wall,2.0,20.0,10.0,1635757507.5398767
20,East Fitness (Strength Equipment),9.0,300.0,3.0,1635757507.5398767
21,Olympic Lifting Room ,0.0,50.0,0.0,1635757507.5398767
22,MP4 (Table Tennis),0.0,300.0,0.0,1635757507.5398767
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635757507.5398767
24,Colby (Cardio),1.0,300.0,1.0,1635757507.5398767
25,Colby (Strength),47.0,300.0,16.0,1635757507.5398767
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635757507.5398767
27,TREC,,,,1635757507.5398767
0,Upper Track (4th Floor),0.0,100.0,0.0,1635761107.2835867
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635761107.2835867
2,Upper Fitness ,1.0,100.0,1.0,1635761107.2835867
3,Upper Gym,29.0,100.0,29.0,1635761107.2835867
4,MAC Court (Cardio),1.0,100.0,1.0,1635761107.2835867
5,MAC (badminton),0.0,50.0,0.0,1635761107.2835867
6,West Mezzanine (3rd Floor),2.0,100.0,2.0,1635761107.2835867
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635761107.2835867
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635761107.2835867
9,Mindfulness Room ,0.0,50.0,0.0,1635761107.2835867
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635761107.2835867
11,Fitness Pavilion (strength),4.0,100.0,4.0,1635761107.2835867
12,Fitness Pavilion (cardio),0.0,100.0,0.0,1635761107.2835867
13,Fitness Loft,0.0,100.0,0.0,1635761107.2835867
14,Feature Gym,8.0,100.0,8.0,1635761107.2835867
15,B&G Gym 1-3,,,,1635761107.2835867
16,B&G Gym 4-6,14.0,300.0,5.0,1635761107.2835867
17,Scifres ,12.0,200.0,6.0,1635761107.2835867
18,Climbing Wall ,,,,1635761107.2835867
19,Bouldering Wall,2.0,20.0,10.0,1635761107.2835867
20,East Fitness (Strength Equipment),9.0,300.0,3.0,1635761107.2835867
21,Olympic Lifting Room ,0.0,50.0,0.0,1635761107.2835867
22,MP4 (Table Tennis),0.0,300.0,0.0,1635761107.2835867
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635761107.2835867
24,Colby (Cardio),1.0,300.0,1.0,1635761107.2835867
25,Colby (Strength),47.0,300.0,16.0,1635761107.2835867
26,Lower Gym (Badminton & Pickleball),2.0,300.0,1.0,1635761107.2835867
27,TREC,,,,1635761107.2835867
0,Upper Track (4th Floor),0.0,100.0,0.0,1635764707.4738863
1,Faculty/Staff Workout Area ,0.0,50.0,0.0,1635764707.4738863
2,Upper Fitness ,3.0,100.0,3.0,1635764707.4738863
3,Upper Gym,0.0,100.0,0.0,1635764707.4738863
4,MAC Court (Cardio),0.0,100.0,0.0,1635764707.4738863
5,MAC (badminton),0.0,50.0,0.0,1635764707.4738863
6,West Mezzanine (3rd Floor),3.0,100.0,3.0,1635764707.4738863
7,Atrium Track (3rd Floor),0.0,100.0,0.0,1635764707.4738863
8,East Mezzanine (3rd Floor),0.0,100.0,0.0,1635764707.4738863
9,Mindfulness Room ,0.0,50.0,0.0,1635764707.4738863
10,Racquetball/Squash Courts ,0.0,200.0,0.0,1635764707.4738863
11,Fitness Pavilion (strength),5.0,100.0,5.0,1635764707.4738863
12,Fitness Pavilion (cardio),3.0,100.0,3.0,1635764707.4738863
13,Fitness Loft,5.0,100.0,5.0,1635764707.4738863
14,Feature Gym,0.0,100.0,0.0,1635764707.4738863
15,B&G Gym 1-3,,,,1635764707.4738863
16,B&G Gym 4-6,0.0,300.0,0.0,1635764707.4738863
17,Scifres ,5.0,200.0,3.0,1635764707.4738863
18,Climbing Wall ,,,,1635764707.4738863
19,Bouldering Wall,0.0,20.0,0.0,1635764707.4738863
20,East Fitness (Strength Equipment),37.0,300.0,13.0,1635764707.4738863
21,Olympic Lifting Room ,0.0,50.0,0.0,1635764707.4738863
22,MP4 (Table Tennis),0.0,300.0,0.0,1635764707.4738863
23,MP3 (Strength Equipment),0.0,100.0,0.0,1635764707.4738863
24,Colby (Cardio),0.0,300.0,0.0,1635764707.4738863
25,Colby (Strength),30.0,300.0,10.0,1635764707.4738863
26,Lower Gym (Badminton & Pickleball),0.0,300.0,0.0,1635764707.4738863
27,TREC,,,,1635764707.4738863
0,Upper Track (4th Floor),0.0,100.0,0.0,1635768310.5923505
